idade,renda_mensal,dependentes,estado_civil,valor_investir_mensal,experiencia_anos,dividas_percentual,patrimonio_atual,tolerancia_perda_1,tolerancia_perda_2,horizonte_investimento,conhecimento_mercado,estabilidade_emprego,tem_reserva_emergencia,planos_grandes_gastos,perfil_risco,publico_alvo,fonte_dados
61,3822.75,1,1,668.97,27,17.81,581335.0,10.0,9.7,5,8,7,1.0,1,agressivo,0.0,scf
25,2780.0,0,0,609.78,1,3.8,24237.32,3.0,1.0,2,4,7,,1,moderado,,sintetico
62,13824.99,0,0,2765.01,37,23.38,19706275.0,7.5,7.2,5,10,10,1.0,1,agressivo,0.0,scf
25,4380.0,2,2,766.5,0,31.9,279465.0,10.0,10.0,40,6,2,1.0,1,agressivo,1.0,scf
25,1928.0,1,0,216.95,1,43.1,17084.83,5.0,6.0,2,4,5,,0,agressivo,,sintetico
25,4541.25,2,0,794.73,0,19.08,466890.0,7.5,7.0,40,6,8,1.0,1,agressivo,1.0,scf
27,7689.75,0,0,1153.47,1,30.41,2790890.0,2.5,2.5,38,4,8,1.0,0,conservador,0.0,scf
60,13438.26,2,2,1679.79,9,20.55,311465.0,5.0,4.7,5,2,7,0.0,1,conservador,0.0,scf
44,14983.5,1,1,2996.7,19,27.74,29240.0,7.5,7.2,21,8,10,0.0,1,agressivo,0.0,scf
22,6579.0,0,0,1196.77,2,44.6,36514.2,4.0,2.0,3,5,4,,0,moderado,,sintetico
20,14983.74,0,2,2247.57,0,31.3,162390.0,2.5,2.4,40,4,8,0.0,1,conservador,1.0,scf
62,17886.99,1,1,2235.87,9,27.99,180505.0,2.5,2.4,5,2,9,0.0,1,conservador,0.0,scf
22,5977.0,0,1,1563.81,0,14.3,28446.17,4.0,5.0,2,1,4,,0,moderado,,sintetico
20,2700.0,0,0,498.31,2,14.2,10653.07,5.0,4.0,3,6,9,,0,moderado,,sintetico
65,6191.49,2,1,773.94,10,33.03,3660515.0,5.0,5.1,5,2,6,1.0,1,conservador,0.0,scf
55,78422.01,1,0,11763.3,15,17.96,7380275.0,5.0,5.2,10,4,9,1.0,1,moderado,0.0,scf
22,1895.0,0,0,267.31,3,12.2,12681.42,4.0,4.0,2,9,5,,1,moderado,,sintetico
52,30528.24,3,1,5342.43,20,22.19,47620.0,7.5,7.2,13,6,10,0.0,1,moderado,0.0,scf
28,24144.24,2,0,4225.23,2,100.0,-110230.0,5.0,5.4,37,6,8,0.0,1,moderado,0.0,scf
18,4376.0,0,0,1492.79,4,2.0,0.0,4.0,5.0,2,10,7,,0,agressivo,,sintetico
69,19354.74,1,0,3870.96,40,25.87,411885.0,2.5,2.7,5,8,6,0.0,1,conservador,0.0,scf
42,3244.5,2,0,648.9,17,100.0,-454120.0,10.0,9.6,23,8,9,1.0,1,agressivo,0.0,scf
46,24681.75,1,0,4936.35,21,17.67,550940.0,7.5,7.5,19,10,10,0.0,1,agressivo,0.0,scf
36,24617.25,0,0,4923.45,11,21.04,826815.0,5.0,5.5,29,10,6,0.0,0,agressivo,0.0,scf
57,22443.24,0,1,4488.66,32,100.0,-852805.0,2.5,2.8,8,8,10,0.0,1,conservador,0.0,scf
25,4492.0,0,0,1333.93,0,28.3,62385.44,5.0,7.0,1,3,5,,0,agressivo,,sintetico
22,1414.0,0,0,202.87,0,0.8,8018.81,1.0,1.0,3,3,6,,0,conservador,,sintetico
58,23985.24,3,0,4197.42,25,29.95,37590595.0,2.5,2.2,7,8,10,1.0,1,conservador,0.0,scf
38,16647.24,2,1,2497.08,6,100.0,-144390.0,2.5,2.4,27,4,3,0.0,1,conservador,0.0,scf
28,10173.75,0,0,1780.41,2,25.79,76000.0,10.0,10.0,37,6,8,0.0,0,agressivo,0.0,scf
51,9553.5,2,1,1194.18,6,23.51,4574285.0,2.5,2.6,14,2,9,1.0,1,conservador,0.0,scf
60,7112.49,2,1,1066.86,18,29.44,679285.0,7.5,8.0,5,4,10,1.0,1,moderado,0.0,scf
55,21226.74,0,0,3714.69,22,32.41,327170.0,2.5,2.5,10,6,9,0.0,1,conservador,0.0,scf
61,57568.74,0,0,10074.54,27,32.13,567840.0,2.5,3.0,5,8,4,0.0,1,conservador,0.0,scf
54,10255.5,1,1,2051.1,29,26.41,448205.0,7.5,7.2,11,8,9,1.0,1,agressivo,0.0,scf
50,6720.0,2,1,1008.0,12,17.26,661940.0,5.0,5.2,15,4,10,1.0,1,conservador,0.0,scf
18,5996.0,0,1,1339.59,4,2.7,0.0,4.0,4.0,3,10,6,,0,agressivo,,sintetico
25,2061.0,0,0,290.5,0,9.5,15809.53,3.0,2.0,2,2,6,,1,moderado,,sintetico
35,8646.24,0,0,1729.26,10,25.08,1568175.0,7.5,7.0,30,10,8,1.0,0,agressivo,0.0,scf
71,22974.51,1,1,3446.19,23,24.89,288225.0,2.5,2.4,5,4,3,0.0,1,conservador,0.0,scf
23,1919.0,0,0,130.4,0,41.4,17436.08,2.0,1.0,1,2,5,,0,conservador,,sintetico
74,16638.0,3,1,2911.65,37,21.56,375675.0,2.5,2.3,5,6,3,0.0,1,conservador,0.0,scf
51,6415.5,2,1,1283.1,26,27.24,396395.0,2.5,2.6,14,8,10,1.0,1,conservador,0.0,scf
23,3707.0,0,0,446.5,3,25.8,15761.1,4.0,5.0,2,7,10,,0,agressivo,,sintetico
33,12538.5,2,1,2194.23,6,20.72,1455010.0,10.0,10.0,32,8,6,1.0,1,agressivo,0.0,scf
45,5373.51,1,1,1074.69,20,27.18,1811670.0,2.5,2.1,20,10,7,1.0,1,moderado,0.0,scf
49,13098.99,1,1,1964.85,12,32.42,1127635.0,2.5,2.5,16,4,9,1.0,1,conservador,0.0,scf
33,12856.74,0,1,1928.52,4,32.62,447815.0,10.0,10.0,32,4,9,1.0,0,agressivo,0.0,scf
30,13938.99,1,1,2787.81,5,29.98,291850.0,2.5,2.8,35,8,3,0.0,1,moderado,0.0,scf
30,18758.49,2,1,3751.71,5,17.91,250145.0,5.0,5.2,35,8,6,0.0,1,moderado,0.0,scf
76,37875.51,0,2,6628.2,38,31.56,110050.0,5.0,5.3,5,6,5,0.0,1,moderado,0.0,scf
19,1849.0,0,0,140.66,0,27.1,1250.5,2.0,4.0,3,1,9,,0,conservador,,sintetico
72,4727.49,1,0,827.31,35,28.51,363700.0,10.0,10.0,5,6,3,1.0,1,agressivo,0.0,scf
65,4093.26,2,2,511.65,10,17.73,3836320.0,5.0,5.0,5,2,5,1.0,1,conservador,0.0,scf
20,3645.0,1,1,884.66,1,13.1,11233.61,1.0,2.0,3,4,7,,0,moderado,,sintetico
55,4282.74,1,1,535.35,8,32.22,25855.0,5.0,5.5,10,2,7,0.0,1,conservador,0.0,scf
40,3425.01,0,0,513.75,8,29.22,1603875.0,5.0,4.7,25,4,9,1.0,0,moderado,0.0,scf
41,69750.75,0,1,13950.15,16,26.16,590090.0,5.0,4.6,24,10,6,0.0,1,agressivo,0.0,scf
70,10319.25,1,1,2063.85,40,21.47,112060.0,2.5,2.9,5,8,3,0.0,1,conservador,0.0,scf
51,7524.75,4,1,1504.95,26,25.4,1713280.0,2.5,2.8,14,10,9,1.0,1,conservador,0.0,scf
50,30140.49,1,1,5274.6,19,25.71,381415.0,2.5,2.2,15,6,4,0.0,1,conservador,0.0,scf
60,16713.24,1,2,3342.66,35,26.6,907955.0,5.0,4.6,5,10,10,1.0,1,moderado,0.0,scf
24,7524.0,0,0,1263.0,0,34.6,73500.07,8.0,9.0,2,1,5,,0,agressivo,,sintetico
22,2435.0,0,0,400.05,0,29.4,17338.52,4.0,3.0,1,3,9,,0,moderado,,sintetico
42,21914.01,2,0,3287.1,8,20.28,8030660.0,2.5,2.2,23,4,9,1.0,1,moderado,0.0,scf
18,2111.0,0,0,247.58,0,18.4,0.0,1.0,1.0,3,3,4,,0,conservador,,sintetico
26,26854.5,3,1,3356.82,0,18.09,2362105.0,5.0,4.7,39,2,7,1.0,1,moderado,0.0,scf
43,42237.99,0,1,8447.61,18,25.49,865700.0,5.0,5.2,22,10,10,0.0,0,agressivo,0.0,scf
46,7588.5,0,2,1138.29,10,100.0,-654945.0,2.5,2.7,19,4,10,0.0,0,conservador,0.0,scf
42,10840.74,1,0,1897.14,13,22.33,101715.0,2.5,2.4,23,6,9,0.0,1,conservador,0.0,scf
70,20983.5,2,1,4196.7,40,25.94,6721385.0,10.0,10.0,5,10,5,1.0,1,agressivo,0.0,scf
54,12348.51,0,0,1543.56,7,24.22,3547625.0,2.5,2.1,11,2,9,1.0,0,conservador,0.0,scf
24,1642.0,0,0,240.65,0,39.6,17477.77,1.0,3.0,3,1,9,,1,conservador,,sintetico
74,4104.75,1,0,718.32,37,100.0,-28055.0,5.0,4.9,5,6,3,0.0,1,conservador,0.0,scf
33,10418.76,3,2,2083.74,8,31.64,1146185.0,5.0,5.0,32,10,6,1.0,1,moderado,0.0,scf
64,20478.99,1,1,4095.81,39,28.24,7615.0,5.0,4.7,5,8,9,0.0,1,moderado,0.0,scf
40,11787.75,0,1,2062.86,11,31.81,440835.0,10.0,9.6,25,6,9,1.0,0,agressivo,0.0,scf
38,16250.49,0,0,2843.85,10,20.88,1780300.0,2.5,2.7,27,8,9,1.0,0,moderado,0.0,scf
21,7394.0,2,0,2189.28,3,25.8,12430.85,5.0,7.0,1,10,7,,0,agressivo,,sintetico
51,14229.75,2,0,2490.21,20,24.66,3473600.0,5.0,4.6,14,8,4,1.0,1,moderado,0.0,scf
56,24552.0,1,1,3069.0,8,100.0,-52970.0,5.0,5.4,9,2,9,0.0,1,conservador,0.0,scf
18,2872.0,0,2,363.12,0,7.0,0.0,1.0,1.0,3,2,9,,0,moderado,,sintetico
39,10147.74,3,1,1522.17,7,28.47,123670.0,5.0,5.2,26,4,8,0.0,1,moderado,0.0,scf
26,12178.74,2,1,2131.29,1,31.64,4369060.0,5.0,4.8,39,8,5,1.0,1,moderado,0.0,scf
45,18923.25,0,0,3311.58,15,30.96,1123090.0,10.0,10.0,20,8,9,1.0,0,agressivo,0.0,scf
44,7399.74,2,1,924.96,5,29.59,675225.0,5.0,4.8,21,2,9,1.0,1,moderado,0.0,scf
25,7444.0,0,0,1721.76,1,24.7,55444.01,6.0,5.0,3,5,10,,1,agressivo,,sintetico
40,13921.74,3,0,2436.3,11,25.32,79505.0,5.0,5.5,25,6,9,0.0,1,moderado,0.0,scf
64,19703.01,1,1,3448.02,29,28.66,4401040.0,2.5,2.4,5,8,9,1.0,1,conservador,0.0,scf
23,2075.0,0,1,375.61,1,25.6,12713.0,1.0,1.0,2,6,7,,0,moderado,,sintetico
20,1636.0,0,0,221.44,5,8.6,5342.93,3.0,5.0,3,10,9,,0,agressivo,,sintetico
66,17175.51,0,1,3005.7,31,19.55,1918645.0,5.0,4.9,5,8,6,1.0,1,moderado,0.0,scf
44,23612.25,2,1,4132.14,14,20.67,645500.0,7.5,7.5,21,8,9,0.0,1,agressivo,0.0,scf
30,10360.5,2,1,1554.09,2,30.8,1046225.0,10.0,10.0,35,4,6,1.0,1,agressivo,0.0,scf
45,9703.26,2,2,1940.64,20,22.56,154240.0,2.5,2.8,20,8,10,0.0,1,conservador,0.0,scf
25,5628.0,1,0,1131.71,3,6.8,71924.24,6.0,7.0,1,7,9,,0,agressivo,,sintetico
65,7615.26,0,1,1523.04,40,29.52,1915640.0,5.0,5.5,5,10,5,1.0,1,moderado,0.0,scf
40,11787.75,0,1,2062.86,11,31.81,440835.0,10.0,9.6,25,6,9,1.0,0,agressivo,0.0,scf
35,26658.24,1,1,3332.28,2,27.74,59395.0,7.5,7.1,30,2,8,0.0,1,moderado,0.0,scf
23,7385.0,0,0,1384.18,0,8.1,44470.33,6.0,4.0,1,2,7,,1,moderado,,sintetico
48,27936.24,1,2,5587.26,23,18.4,5128870.0,5.0,4.6,17,10,10,1.0,1,agressivo,0.0,scf
28,63297.75,3,1,12659.55,3,18.21,88955.0,10.0,10.0,37,8,6,0.0,1,agressivo,0.0,scf
58,6047.49,0,1,755.94,8,31.43,475830.0,5.0,5.3,7,2,7,1.0,1,conservador,0.0,scf
24,27998.76,0,1,4899.78,0,31.18,428810.0,2.5,2.5,40,6,7,0.0,1,moderado,1.0,scf
51,37096.5,1,1,6491.88,20,32.67,2084645.0,10.0,10.0,14,8,10,1.0,1,agressivo,0.0,scf
48,46655.76,1,1,9331.14,23,17.38,1337050.0,7.5,7.1,17,10,9,0.0,1,agressivo,0.0,scf
60,8075.76,1,1,1413.27,26,28.65,236255.0,2.5,2.4,5,6,10,0.0,1,conservador,0.0,scf
51,9804.24,3,1,1470.63,13,20.17,367765.0,5.0,5.0,14,4,10,0.0,1,conservador,0.0,scf
48,3513.24,0,1,702.66,23,19.65,1872780.0,7.5,7.2,17,10,9,1.0,0,agressivo,0.0,scf
22,1756.0,0,0,150.24,0,43.7,9187.22,1.0,1.0,3,3,6,,0,conservador,,sintetico
60,8075.76,1,1,1413.27,26,28.65,236255.0,2.5,2.4,5,6,10,0.0,1,conservador,0.0,scf
22,4323.0,0,0,803.96,0,24.7,30382.27,3.0,2.0,3,1,6,,0,moderado,,sintetico
56,3907.26,0,1,683.76,23,17.91,99805.0,2.5,2.9,9,6,10,0.0,1,conservador,0.0,scf
25,7815.0,0,0,1375.83,1,28.9,33191.96,8.0,10.0,2,3,5,,0,agressivo,,sintetico
24,2849.0,1,0,293.22,0,6.2,15345.6,1.0,2.0,3,1,7,,0,moderado,,sintetico
22,4728.0,1,0,1130.3,0,19.1,11657.31,4.0,6.0,3,1,10,,0,moderado,,sintetico
25,1687.0,0,0,202.87,2,25.8,6767.64,5.0,5.0,3,8,5,,0,agressivo,,sintetico
46,23859.75,1,1,4175.46,16,29.37,8610.0,7.5,7.4,19,6,10,0.0,1,agressivo,0.0,scf
66,32863.26,0,0,5751.06,31,33.21,101315.0,2.5,2.4,5,6,6,0.0,1,conservador,0.0,scf
61,3822.75,1,1,668.97,27,17.81,581335.0,10.0,9.7,5,8,7,1.0,1,agressivo,0.0,scf
25,1325.0,2,0,97.62,0,4.6,5893.71,4.0,2.0,1,3,8,,0,conservador,,sintetico
57,42954.24,0,0,6443.13,16,100.0,-531300.0,10.0,10.0,8,4,7,0.0,1,moderado,0.0,scf
48,33612.51,0,1,5041.89,12,19.38,677800.0,10.0,9.5,17,4,10,0.0,0,agressivo,0.0,scf
44,157224.24,1,0,31444.86,19,23.57,583255.0,7.5,7.6,21,10,9,0.0,1,agressivo,0.0,scf
20,7555.0,0,0,1258.1,2,38.3,27579.98,5.0,6.0,3,7,8,,1,agressivo,,sintetico
56,20519.49,2,0,3590.91,23,30.68,457555.0,2.5,2.2,9,6,4,0.0,1,conservador,0.0,scf
80,19332.99,1,2,2899.95,28,24.22,401300.0,5.0,5.2,5,4,1,0.0,1,conservador,0.0,scf
24,2107.0,1,0,300.04,3,11.4,18207.57,3.0,1.0,3,10,5,,0,moderado,,sintetico
61,42925.5,3,1,6438.84,18,25.2,131625.0,5.0,4.7,5,4,10,0.0,1,conservador,0.0,scf
63,35361.51,1,1,5304.24,19,21.63,4574960.0,2.5,2.3,5,4,10,1.0,1,conservador,0.0,scf
25,4380.0,2,2,766.5,0,31.9,279465.0,10.0,10.0,40,6,2,1.0,1,agressivo,1.0,scf
45,22481.49,0,1,3372.21,10,22.07,799825.0,7.5,7.9,20,4,9,0.0,0,agressivo,0.0,scf
21,2187.0,0,0,219.45,3,24.5,9406.35,6.0,4.0,3,9,9,,0,agressivo,,sintetico
60,9971.49,1,1,1745.01,26,100.0,-342300.0,10.0,10.0,5,6,7,0.0,1,moderado,0.0,scf
54,13685.49,2,1,2394.96,22,100.0,-95760.0,7.5,7.6,11,6,10,0.0,1,moderado,0.0,scf
37,6558.75,0,0,1147.77,9,33.17,583950.0,7.5,7.9,28,8,6,1.0,0,agressivo,0.0,scf
48,36417.51,1,0,5462.64,12,100.0,-57310.0,5.0,4.7,17,4,7,0.0,1,conservador,0.0,scf
58,9413.49,1,0,1882.71,33,21.65,433620.0,2.5,3.0,7,8,4,0.0,1,conservador,0.0,scf
28,21863.49,1,1,4372.71,3,100.0,-207335.0,10.0,10.0,37,8,9,0.0,1,agressivo,0.0,scf
24,13750.74,0,1,2750.16,0,26.81,4419435.0,5.0,5.2,40,10,8,1.0,0,agressivo,1.0,scf
18,5294.0,1,0,1852.09,2,18.4,0.0,2.0,1.0,3,6,8,,1,moderado,,sintetico
23,7975.0,0,2,1780.86,1,35.7,57146.45,7.0,5.0,1,5,7,,0,agressivo,,sintetico
20,1735.0,0,1,214.17,0,39.2,5842.72,1.0,3.0,3,3,7,,1,conservador,,sintetico
37,25074.99,1,2,3761.25,6,23.36,120500.0,7.5,7.5,28,4,8,0.0,1,agressivo,0.0,scf
60,12639.51,0,1,2211.9,26,30.04,284240.0,5.0,5.3,5,6,4,0.0,1,conservador,0.0,scf
47,13151.01,0,1,2630.19,22,28.67,187380.0,2.5,2.0,18,8,9,0.0,1,conservador,0.0,scf
42,108333.0,0,2,21666.6,17,27.58,346635.0,5.0,4.7,23,8,9,0.0,1,agressivo,0.0,scf
62,16977.24,0,1,2971.02,28,32.66,382310.0,5.0,4.9,5,6,7,0.0,1,conservador,0.0,scf
21,38438.49,2,0,7687.71,0,25.2,3134285.0,10.0,10.0,40,10,8,1.0,1,agressivo,1.0,scf
55,14307.51,0,0,2146.14,15,26.85,1782765.0,2.5,2.9,10,4,9,1.0,1,conservador,0.0,scf
46,8901.75,0,1,1112.73,5,21.36,21803960.0,10.0,9.8,19,2,7,1.0,0,agressivo,0.0,scf
41,10629.24,0,1,1860.12,12,30.85,1991680.0,7.5,7.9,24,8,8,1.0,0,agressivo,0.0,scf
50,36864.75,1,1,5529.72,12,31.76,594020.0,5.0,4.8,15,4,10,0.0,1,conservador,0.0,scf
30,41379.0,1,2,7241.34,4,18.26,293155.0,5.0,5.3,35,6,6,0.0,1,moderado,0.0,scf
20,1324.0,0,0,149.43,1,41.9,4874.62,1.0,2.0,1,4,9,,1,conservador,,sintetico
69,17527.5,2,2,3505.5,40,30.09,667665.0,5.0,4.6,5,10,3,0.0,1,conservador,0.0,scf
54,33255.0,1,0,6651.0,29,21.1,465325.0,5.0,5.4,11,8,10,0.0,1,moderado,0.0,scf
39,19579.5,0,0,3426.42,10,100.0,-80625.0,2.5,2.6,26,6,8,0.0,1,conservador,0.0,scf
40,28095.0,0,1,4214.25,8,19.33,444295.0,7.5,7.5,25,4,9,0.0,1,agressivo,0.0,scf
36,60206.01,1,1,12041.19,11,28.21,1585190.0,5.0,4.7,29,10,9,0.0,1,agressivo,0.0,scf
48,15264.99,1,2,2671.38,17,27.74,12778160.0,7.5,7.8,17,8,10,1.0,1,agressivo,0.0,scf
43,120795.75,2,0,24159.15,18,100.0,-54785.0,7.5,8.0,22,8,7,0.0,1,agressivo,0.0,scf
67,10125.51,4,0,1518.84,21,31.89,262935.0,5.0,4.6,5,4,6,0.0,1,conservador,0.0,scf
57,35124.24,1,2,6146.73,24,33.01,124080.0,2.5,2.9,8,6,10,0.0,1,conservador,0.0,scf
38,7469.49,0,1,1307.16,10,28.98,1875095.0,5.0,5.2,27,8,8,1.0,0,moderado,0.0,scf
63,14821.74,2,1,2964.36,38,30.88,313390.0,10.0,10.0,5,8,10,0.0,1,moderado,0.0,scf
66,6915.51,3,1,1037.34,20,23.48,280460.0,2.5,2.2,5,4,6,1.0,1,conservador,0.0,scf
22,7268.0,0,1,1329.08,3,37.4,39626.21,4.0,3.0,3,8,10,,1,agressivo,,sintetico
62,6388.74,0,1,958.32,18,33.09,584545.0,5.0,5.0,5,4,9,1.0,1,conservador,0.0,scf
79,33238.26,3,0,4985.73,27,18.41,452765.0,10.0,10.0,5,4,6,0.0,1,moderado,0.0,scf
21,1775.0,0,0,138.31,2,18.3,8717.72,4.0,3.0,3,8,8,,0,moderado,,sintetico
76,5812.74,4,0,1162.56,40,30.73,409825.0,2.5,2.6,5,8,6,1.0,1,conservador,0.0,scf
25,4813.5,0,2,842.37,0,31.42,590945.0,5.0,5.1,40,8,5,1.0,0,moderado,1.0,scf
20,3278.0,0,0,483.32,0,48.7,8563.5,1.0,2.0,3,3,9,,1,moderado,,sintetico
25,2623.0,2,0,351.86,1,0.5,28477.88,4.0,6.0,2,6,9,,1,moderado,,sintetico
75,16879.74,0,2,2531.97,25,27.64,2590915.0,5.0,5.5,5,4,3,1.0,0,moderado,0.0,scf
68,16731.0,4,1,3346.2,40,18.47,134875.0,7.5,7.1,5,8,1,0.0,1,moderado,0.0,scf
18,5531.0,0,0,1648.63,1,1.6,0.0,3.0,1.0,1,6,9,,1,conservador,,sintetico
28,47223.0,0,0,9444.6,3,100.0,-759110.0,7.5,7.8,37,8,9,0.0,1,agressivo,0.0,scf
69,40783.26,1,1,8156.64,40,18.31,433055.0,10.0,10.0,5,8,6,0.0,1,agressivo,0.0,scf
68,15182.25,3,1,2277.33,22,25.74,99890.0,7.5,7.6,5,4,6,0.0,1,moderado,0.0,scf
31,9612.0,1,0,1682.1,4,30.05,18348670.0,5.0,4.5,34,8,9,1.0,1,moderado,0.0,scf
44,22570.5,3,0,3949.83,14,27.43,500320.0,10.0,10.0,21,8,7,0.0,1,agressivo,0.0,scf
39,15927.51,0,1,3185.49,14,31.81,399205.0,5.0,4.5,26,8,6,0.0,0,moderado,0.0,scf
54,12298.5,0,2,2459.7,29,32.75,77800.0,5.0,5.1,11,8,10,0.0,0,moderado,0.0,scf
20,2093.0,1,0,308.19,0,3.9,6439.59,2.0,3.0,3,3,8,,0,conservador,,sintetico
57,32473.74,4,1,4871.07,16,22.6,3093185.0,5.0,5.3,8,4,7,1.0,1,moderado,0.0,scf
25,3734.0,0,0,765.35,0,28.0,33685.29,5.0,4.0,3,4,10,,0,agressivo,,sintetico
51,4338.75,2,0,759.27,20,18.65,3446350.0,10.0,9.6,14,8,9,1.0,1,agressivo,0.0,scf
21,5723.0,0,0,1442.13,1,16.8,34005.79,2.0,2.0,3,3,4,,1,moderado,,sintetico
23,1566.0,0,0,107.17,3,25.9,11387.87,3.0,4.0,2,7,10,,1,moderado,,sintetico
43,14966.25,1,1,2993.25,18,100.0,-50420.0,10.0,10.0,22,8,7,0.0,1,agressivo,0.0,scf
58,25102.5,1,2,3765.39,16,20.37,1268245.0,7.5,8.0,7,4,7,1.0,1,moderado,0.0,scf
77,40779.24,0,1,5097.42,13,20.39,167895.0,10.0,9.8,5,2,5,0.0,1,moderado,0.0,scf
52,8334.99,0,2,1041.87,7,22.12,129395.0,2.5,2.9,13,2,7,0.0,0,conservador,0.0,scf
25,1832.0,1,1,191.47,0,11.8,8162.61,2.0,2.0,3,4,9,,0,moderado,,sintetico
25,1857.0,0,0,130.84,2,7.4,24035.91,7.0,9.0,1,6,4,,1,moderado,,sintetico
64,42583.26,0,1,7452.06,29,19.24,2408945.0,7.5,7.5,5,8,7,1.0,1,agressivo,0.0,scf
73,10756.5,1,0,1613.49,24,24.82,119570.0,7.5,7.2,5,4,6,0.0,1,moderado,0.0,scf
19,5216.0,0,0,1241.71,4,29.9,2925.78,3.0,4.0,2,10,6,,1,agressivo,,sintetico
42,14148.75,1,1,2476.02,13,27.92,487550.0,10.0,10.0,23,6,6,0.0,1,agressivo,0.0,scf
23,1115.0,2,1,111.83,1,25.0,5699.33,3.0,2.0,1,4,4,,0,conservador,,sintetico
74,15217.74,2,0,2282.67,24,31.44,3243715.0,2.5,2.1,5,4,3,1.0,1,conservador,0.0,scf
69,18434.25,3,1,3225.99,33,30.96,544500.0,2.5,2.6,5,8,5,0.0,1,conservador,0.0,scf
48,36528.0,0,0,6392.4,17,20.91,163650.0,7.5,8.0,17,6,9,0.0,1,agressivo,0.0,scf
61,15528.75,0,0,2717.52,27,30.11,676270.0,5.0,4.9,5,8,10,0.0,1,conservador,0.0,scf
67,10863.75,0,1,1901.16,32,22.44,4658860.0,7.5,7.6,5,8,5,1.0,1,agressivo,0.0,scf
30,24301.5,2,0,4252.77,4,33.16,974210.0,5.0,4.9,35,8,9,0.0,1,moderado,0.0,scf
48,22704.99,2,2,3405.75,12,22.9,232425.0,2.5,2.7,17,4,9,0.0,1,conservador,0.0,scf
46,21154.74,0,2,2644.35,5,31.35,562440.0,10.0,10.0,19,2,7,0.0,0,agressivo,0.0,scf
76,31202.25,1,1,4680.33,26,20.86,932715.0,2.5,2.2,5,4,6,0.0,1,conservador,0.0,scf
76,39150.99,1,0,7830.21,40,33.19,226820.0,7.5,7.9,5,8,1,0.0,1,moderado,0.0,scf
